x_value,total_1,total_2
1266,2334,1726
325,1390,1278
1374,2371,1510
2028,3148,2137
1532,2564,2065
1267,2332,1732
326,1393,1273
2029,3154,2139
1375,2365,1508
1533,2563,2071
1268,2335,1734
327,1388,1273
2030,3155,2141
1376,2363,1512
1534,2565,2067
1269,2340,1733
328,1393,1276
2031,3150,2138
1377,2367,1510
1535,2561,2073
1270,2334,1737
329,1389,1274
2032,3147,2137
1378,2373,1511
1536,2568,2072
1271,2332,1743
330,1396,1274
1379,2379,1512
1537,2566,2073
1272,2339,1738
331,1401,1274
2034,3148,2136
1380,2383,1514
1538,2563,2069
1273,2338,1743
332,1406,1269
1381,2388,1517
2035,3143,2140
1539,2568,2074
1274,2333,1742
333,1403,1264
1382,2391,1522
1540,2569,2079
1275,2340,1747
334,1402,1264
1383,2398,1522
2037,3138,2142
1541,2567,2076
1276,2347,1744
335,1400,1265
1384,2393,1517
2038,3143,2143
1542,2562,2081
1277,2355,1747
336,1404,1261
1385,2392,1518
2039,3150,2140
1543,2556,2076
1278,2352,1750
337,1399,1266
1386,2386,1518
2040,3147,2142
1544,2563,2074
1279,2353,1748
338,1406,1269
1387,2385,1518
2041,3148,2142
1545,2568,2075
1280,2354,1753
339,1412,1266
1388,2391,1520
2042,3154,2142
1546,2568,2079
1281,2362,1756
340,1417,1264
1389,2399,1523
2043,3158,2137
1547,2566,2082
1282,2369,1761
341,1423,1260
1390,2396,1519
2044,3156,2140
1548,2569,2080
1283,2377,1761
342,1417,1261
1391,2397,1525
2045,3161,2137
1549,2574,2077
1284,2375,1766
343,1422,1264
1392,2398,1522
2046,3156,2138
1550,2581,2077
1285,2374,1762
344,1425,1270
1393,2392,1518
2047,3152,2133
1551,2585,2076
1286,2374,1767
345,1419,1271
1394,2394,1516
2048,3151,2132
1552,2593,2082
1287,2373,1765
346,1427,1274
2049,3148,2133
1395,2398,1512
1553,2598,2086
1288,2367,1767
347,1427,1272
1396,2394,1515
1554,2594,2082
1289,2364,1771
348,1423,1267
2051,3149,2133
1397,2395,1521
1555,2594,2087
1290,2358,1772
349,1427,1262
2052,3157,2131
1398,2391,1522
1556,2601,2086
1291,2359,1777
350,1424,1258
2053,3154,2127
1399,2396,1523
1557,2601,2084
1292,2366,1782
351,1430,1256
2054,3150,2131
1400,2393,1523
1558,2597,2089
1293,2367,1787
352,1433,1260
2055,3150,2129
1401,2399,1527
1559,2594,2087
1294,2362,1787
353,1431,1257
2056,3158,2135
1402,2406,1532
1560,2590,2087
1295,2356,1790
354,1427,1255
2057,3166,2136
1403,2408,1538
1561,2595,2083
1296,2357,1793
355,1434,1255
2058,3167,2138
1404,2411,1537
1562,2590,2078
1297,2361,1791
356,1435,1257
2059,3163,2138
1405,2414,1539
1563,2585,2079
1298,2363,1794
357,1442,1252
2060,3165,2141
1406,2419,1541
1564,2591,2084
1299,2360,1794
358,1441,1249
2061,3173,2147
1407,2421,1539
1565,2587,2079
1300,2362,1797
359,1443,1248
2062,3171,2143
1408,2416,1537
1566,2592,2076
1301,2362,1794
360,1451,1254
2063,3169,2138
1567,2587,2074
1302,2369,1796
361,1445,1249
2064,3167,2134
1410,2428,1541
1568,2586,2080
1303,2363,1794
362,1450,1251
1411,2435,1544
2065,3171,2136
1569,2584,2076
1304,2357,1790
363,1446,1247
1412,2429,1547
2066,3165,2140
1570,2585,2074
1305,2362,1790
364,1448,1242
1413,2430,1549
2067,3167,2138
1571,2582,2069
1306,2360,1796
365,1450,1247
1414,2431,1547
2068,3169,2135
1572,2577,2064
1307,2368,1799
366,1454,1243
1415,2428,1549
2069,3174,2136
1573,2576,2059
1308,2375,1802
367,1458,1245
1416,2430,1555
2070,3169,2140
1574,2584,2061
1309,2382,1802
368,1460,1246
1417,2429,1556
2071,3168,2144
1575,2590,2066
1310,2387,1798
369,1461,1246
1418,2429,1553
2072,3164,2148
1576,2586,2063
1311,2388,1797
370,1457,1252
1419,2425,1548
2073,3164,2145
1577,2587,2060
1312,2383,1802
371,1452,1247
1420,2423,1543
2074,3161,2148
1578,2585,2057
1313,2389,1802
372,1454,1246
1421,2429,1542
2075,3159,2151
1579,2590,2056
1314,2392,1798
373,1455,1250
1422,2433,1540
2076,3164,2149
1580,2591,2051
1315,2389,1793
374,1455,1248
1423,2439,1543
2077,3172,2148
1581,2599,2051
1316,2392,1799
375,1460,1248
1424,2433,1549
2078,3170,2148
1582,2594,2048
1317,2390,1796
376,1463,1253
1425,2440,1544
2079,3169,2143
1583,2591,2049
1318,2393,1798
377,1460,1258
1426,2442,1547
2080,3164,2142
1584,2585,2046
1319,2399,1797
378,1456,1254
2081,3172,2138
1585,2584,2047
1427,2437,1548
1320,2395,1795
379,1456,1254
2082,3171,2143
1586,2585,2050
1428,2443,1551
1321,2391,1799
2083,3169,2149
1429,2437,1555
1587,2589,2054
381,1455,1250

2084,3171,2147
1430,2443,1551
1588,2593,2054
1323,2386,1798
382,1451,1249
2085,3166,2142
1589,2601,2053
1431,2443,1546
1324,2382,1796
383,1455,1252
2086,3167,2137
1432,2441,1546
1590,2605,2055
1325,2378,1794
384,1455,1252
1433,2442,1551
2087,3170,2137
1326,2384,1793
385,1450,1247
1592,2595,2065
1434,2439,1550
2088,3174,2135
1327,2387,1788
386,1452,1247
2089,3181,2136
1593,2598,2063
1435,2433,1553
1328,2386,1789
387,1458,1251
2090,3186,2131
1436,2429,1553
1329,2394,1793
388,1458,1252
1595,2605,2054
1437,2424,1552
1330,2395,1789
389,1453,1252
2092,3185,2125
1438,2419,1550
1596,2600,2060
1331,2394,1784
390,1454,1248
1597,2594,2056
1439,2425,1552
2093,3179,2124
1332,2396,1787
391,1451,1249
2094,3184,2122
1598,2597,2055
1333,2399,1782
392,1447,1244
2095,3181,2128
1441,2434,1544
1599,2593,2059
1334,2400,1782
393,1453,1239
2096,3184,2133
1442,2435,1545
1600,2591,2057
1335,2399,1785
394,1457,1243
2097,3192,2131
1443,2442,1548
1601,2594,2056
1336,2406,1781
395,1452,1241
2098,3197,2136
1602,2598,2059
1337,2411,1781
396,1446,1242
2099,3193,2132
1445,2439,1553
1603,2594,2064
1338,2416,1778
397,1452,1242
2100,3201,2127
1446,2436,1557
398,1449,1244

1447,2432,1558
1605,2592,2075
2101,3197,2126
1340,2423,1772
399,1453,1241
1448,2429,1559
1606,2592,2072
2102,3191,2125
1341,2428,1773
400,1460,1236
1449,2425,1556
1607,2590,2067
2103,3190,2123
1342,2425,1777
401,1468,1238
1450,2424,1555
1608,2586,2073
1343,2428,1772
402,1465,1237
1451,2419,1553
1609,2590,2074
2105,3190,2123
1344,2434,1776
403,1467,1240
1452,2413,1550
1610,2596,2076
2106,3197,2123
1345,2437,1776
404,1468,1244
1453,2408,1552
1611,2590,2072
2107,3191,2128
1346,2443,1772
405,1465,1240
1454,2411,1555
1612,2593,2075
2108,3194,2132
1347,2439,1772
406,1468,1246
1455,2419,1551
1613,2595,2077
2109,3190,2135
1348,2442,1771
407,1468,1249
1456,2424,1555
1614,2594,2079
2110,3187,2131
1349,2448,1769
408,1473,1245
1457,2427,1556
1615,2591,2082
2111,3193,2135
1350,2453,1769
409,1469,1251
1458,2430,1562
1616,2588,2081
2112,3188,2132
1351,2458,1775
410,1471,1248
1459,2427,1566
1617,2588,2082
2113,3182,2138
1352,2463,1774
411,1478,1250
1460,2425,1571
2114,3190,2138
1353,2468,1776
412,1481,1245
1461,2428,1574
1619,2588,2083
2115,3198,2141
413,1479,1243
1354,2472,1775
1462,2428,1569
1620,2595,2081
2116,3199,2144
414,1482,1249
1355,2468,1777
1463,2423,1573
1621,2590,2084
2117,3207,2146
415,1478,1245
1356,2466,1773
1464,2429,1579
1622,2590,2082
2118,3209,2149
416,1482,1249
1357,2472,1773
1465,2428,1578
1623,2597,2085
2119,3215,2152
417,1482,1249
1358,2474,1768
1466,2434,1583
1624,2597,2086
2120,3218,2150
418,1482,1254
1359,2469,1774
1467,2435,1589
1625,2604,2092
419,1487,1251
1360,2475,1777
1468,2431,1587
1626,2599,2095
2122,3222,2149
420,1493,1246
1361,2470,1778
1469,2433,1587
1627,2607,2101
2123,3230,2145
421,1488,1247
1362,2477,1774
1470,2431,1588
1628,2607,2102
2124,3238,2148
422,1493,1248
1363,2475,1774
1471,2435,1583
2125,3242,2149
1629,2613,2107
423,1494,1243
1364,2479,1772
1472,2443,1583
1630,2617,2110
424,1501,1242

1473,2442,1583
1631,2612,2107
2127,3244,2152
1366,2478,1770
425,1509,1242
1474,2443,1588
1632,2620,2108
2128,3246,2156
1367,2478,1770
426,1512,1239
1475,2439,1589
1633,2620,2103
2129,3253,2159
427,1507,1240
1368,2484,1772
1476,2436,1595
2130,3251,2159
1634,2618,2107
428,1507,1241
1369,2492,1770
1477,2443,1594
2131,3252,2155
1635,2612,2110
429,1501,1241
1370,2497,1769
1478,2445,1589
2132,3246,2158
1636,2609,2106
430,1496,1246
1371,2497,1770
1479,2443,1586
2133,3254,2161
1637,2615,2102
431,1493,1252
1372,2502,1768
1480,2446,1582
2134,3261,2165
1638,2619,2102
432,1489,1253
1373,2501,1772
1481,2451,1577
2135,3256,2170
1639,2617,2105
433,1486,1250
1374,2501,1767
1482,2453,1580
1640,2623,2100
2136,3260,2176
1375,2500,1771
434,1486,1249
1483,2453,1579
2137,3262,2175
1641,2631,2099
1376,2498,1772
435,1481,1254
1484,2455,1585
1642,2639,2097
1377,2504,1770
436,1479,1259
2139,3271,2171
1643,2647,2094
1485,2449,1583
1378,2512,1770
437,1477,1257
1644,2654,2089
1486,2450,1583
1379,2511,1772
438,1480,1262
1487,2449,1588
1645,2661,2094
1380,2511,1771
439,1474,1267
1646,2665,2098
2142,3274,2172
1488,2443,1585
440,1480,1271

2143,3273,2174
1489,2438,1584
1382,2520,1774
441,1487,1273
2144,3277,2177
1648,2677,2101
1490,2432,1581
1383,2522,1769
442,1491,1274
2145,3283,2183
1649,2683,2102
1491,2435,1581
1384,2519,1775
443,1488,1271
2146,3281,2179
1650,2689,2104
1492,2434,1583
1385,2515,1772
444,1487,1276
2147,3288,2178
1651,2688,2110
1493,2441,1588
1386,2509,1767
445,1494,1271
2148,3283,2175
1494,2440,1591
1652,2684,2112
446,1499,1268

2149,3277,2173
1495,2444,1595
1653,2688,2109
447,1505,1269
1388,2509,1757
1654,2687,2112
1496,2450,1596
2150,3280,2171
448,1511,1265
1389,2503,1760
1655,2686,2117
2151,3287,2167
1497,2447,1593
449,1505,1260
1390,2508,1757
1656,2694,2117
1498,2445,1599
2152,3286,2173
1391,2508,1752
450,1501,1265
1657,2688,2114
2153,3282,2178
1499,2452,1603
451,1500,1262
1392,2504,1748
1658,2691,2109
2154,3278,2181
1500,2454,1603
452,1499,1260
1393,2510,1745
2155,3276,2187
1659,2691,2105
1501,2457,1606
453,1498,1263
1394,2516,1750
2156,3273,2183
1660,2692,2108
1502,2459,1606
1395,2518,1755
454,1495,1260
1503,2465,1611
2157,3281,2186
1396,2526,1757
455,1502,1262
1504,2472,1612
1662,2693,2110
2158,3289,2184
1397,2530,1754
456,1498,1261
2159,3289,2188
1505,2479,1613
1663,2694,2114
457,1505,1260
1398,2532,1757
2160,3284,2192
1664,2691,2115
1399,2537,1754
458,1499,1265
2161,3279,2188
1507,2490,1617
1665,2693,2119
1400,2542,1753
459,1499,1266
1508,2496,1621
460,1500,1272
1401,2537,1753
2163,3273,2181
1667,2690,2113
461,1496,1267
1402,2537,1755
1510,2493,1617
2164,3280,2184
462,1495,1262
1403,2539,1752
2165,3276,2180
1669,2701,2119
1404,2535,1752
463,1494,1259
1512,2505,1621
2166,3283,2185
1670,2707,2116
1405,2531,1751
464,1488,1264
1513,2509,1623
2167,3290,2183
1671,2706,2120
465,1482,1263

2168,3285,2187
1514,2514,1620
1672,2710,2126
466,1482,1258

1515,2513,1622
2169,3290,2191
1673,2712,2129
1408,2529,1745
1674,2711,2125
468,1494,1257
1409,2528,1747
1517,2514,1629
2171,3288,2188
1675,2717,2123
469,1488,1255
1410,2526,1749
1518,2508,1634
1676,2713,2124
470,1494,1254
1411,2530,1749
1677,2720,2123
2173,3299,2180
1519,2504,1632
1412,2530,1745
1678,2725,2120
2174,3296,2175
1520,2506,1630
1413,2530,1744
472,1496,1250
2175,3303,2177
1679,2732,2115
473,1493,1252
1414,2528,1740
1680,2726,2120
2176,3306,2183
1415,2528,1736
474,1501,1249
1681,2731,2116
1523,2512,1632
2177,3302,2187
1416,2525,1736
475,1495,1249
2178,3301,2192
1682,2732,2112
476,1503,1247
1417,2526,1735
2179,3308,2195
1525,2515,1636
1683,2740,2107
477,1498,1253
1418,2526,1733
2180,3312,2193
1526,2521,1638
1684,2746,2104
1419,2520,1728
1685,2746,2107
2181,3315,2188
479,1509,1249
1420,2525,1731
2182,3310,2191
1686,2740,2113
1528,2519,1639
1421,2530,1733
480,1508,1255
2183,3313,2188
1687,2748,2114
1529,2517,1636
1422,2528,1736
1688,2753,2119
2184,3308,2191
1530,2515,1637
1423,2529,1739
1689,2748,2121
2185,3303,2193
1531,2509,1638
1424,2530,1736
483,1508,1259
1690,2752,2117
1532,2513,1642
1425,2525,1731
484,1503,1264
2187,3292,2187
1691,2746,2117
1533,2512,1640
1426,2530,1731
485,1509,1266
2188,3287,2183
1534,2508,1642
1692,2752,2118
486,1505,1268
1427,2524,1728
2189,3293,2179
1693,2759,2116
1428,2527,1734
487,1510,1270
2190,3287,2176
1694,2753,2115
1536,2508,1642
1429,2526,1733
488,1515,1268
1695,2760,2120
2191,3288,2176
1537,2504,1639
1430,2529,1736
489,1518,1270
1696,2759,2119
2192,3282,2173
1538,2499,1635
1431,2530,1732
490,1514,1275
1697,2755,2115
1539,2501,1641
1432,2525,1731
1698,2754,2117
2194,3293,2176
1540,2506,1646
1433,2528,1735
2195,3287,2181
1541,2504,1648
1434,2523,1733
493,1514,1281
1700,2756,2119
2196,3284,2182
1542,2509,1646
494,1520,1282
1435,2529,1731
2197,3291,2187
1543,2508,1643
1436,2526,1727
495,1525,1286
2198,3292,2193
1702,2758,2122
1544,2513,1638
1437,2529,1723
496,1532,1284
1703,2754,2128
1545,2511,1637
1438,2523,1718
497,1526,1283
2200,3303,2192
1704,2762,2124
1546,2510,1633
1439,2531,1718
498,1520,1284
2201,3308,2191
1705,2758,2123
1547,2507,1638
1440,2525,1720
499,1516,1286
2202,3315,2191
1706,2764,2123
1548,2513,1633
1441,2528,1726
500,1513,1282
1549,2517,1639
1707,2762,2118
2203,3316,2190
1442,2524,1730
501,1509,1287
1550,2515,1637
2204,3323,2186
1708,2766,2116
1443,2522,1736
502,1515,1284
1551,2511,1635
2205,3327,2190
1709,2766,2113
1444,2518,1733
503,1516,1286
2206,3326,2193
1710,2766,2118
504,1514,1291
1445,2515,1728
1553,2515,1628
2207,3326,2188
505,1522,1296
1446,2509,1724
2208,3326,2186
506,1520,1297
1447,2509,1723
1555,2524,1630
1713,2766,2125
507,1518,1297
1448,2512,1721
2210,3336,2188
1714,2772,2130
508,1517,1302
1449,2516,1717
2211,3336,2185
1557,2520,1631
1715,2775,2133
509,1512,1304
1450,2517,1717
1558,2519,1626
1716,2779,2128
510,1509,1306
1451,2523,1717
2213,3341,2190
1559,2522,1631
1717,2777,2127
511,1505,1302
1452,2529,1716
2214,3342,2193
1560,2529,1630
1718,2781,2127
512,1506,1305

1561,2527,1633
2215,3337,2197
1719,2779,2129
513,1506,1305
1454,2539,1723
1562,2528,1638
2216,3335,2200
1720,2775,2126
514,1503,1301
1455,2546,1725
1563,2525,1641
1721,2782,2127
1456,2550,1727
515,1510,1302
2218,3337,2194
1564,2525,1644
1722,2778,2122
1457,2555,1727
516,1518,1303
2219,3331,2198
1723,2776,2122
517,1516,1309
1458,2552,1724
1724,2770,2124
1566,2523,1645
2220,3339,2203
518,1518,1308
1459,2547,1723
1567,2523,1643
1460,2542,1718
519,1514,1313
1726,2772,2127
1568,2522,1638
2222,3332,2198
1461,2545,1716
520,1517,1317
2223,3327,2195
1462,2549,1717
521,1512,1315
1570,2523,1639
2224,3330,2201
1728,2768,2125
1463,2557,1719
522,1517,1315
1571,2525,1637
2225,3338,2205
1729,2776,2125
1464,2552,1723
2226,3345,2208
1730,2780,2124
1465,2554,1727
524,1517,1315
1731,2784,2124
1573,2527,1635
2227,3350,2205
1466,2557,1722
525,1521,1310
1732,2789,2130
1574,2522,1638
2228,3357,2210
1467,2558,1718
1733,2785,2135
1575,2516,1643
527,1524,1316
1468,2565,1715
1734,2785,2133
1576,2523,1646
1469,2565,1721
1577,2517,1642
2231,3366,2220
1735,2783,2136
529,1533,1318
1470,2561,1727
1736,2782,2140
2232,3365,2217
1578,2521,1647
1471,2562,1727
530,1534,1322
1737,2780,2138
1579,2529,1647
2233,3373,2217
531,1531,1328
1472,2566,1731
1738,2786,2135
1580,2537,1645
2234,3372,2212
1473,2573,1727
532,1530,1330
1739,2790,2136
533,1537,1333
1474,2568,1725
2236,3375,2206
534,1531,1336
1475,2564,1725
1583,2539,1648
1741,2800,2143
1476,2565,1731
1584,2535,1653
1742,2799,2145
2238,3376,2208
536,1531,1328
1477,2572,1734
2239,3372,2214
1743,2796,2144
1478,2569,1734
537,1525,1329
1586,2528,1654
2240,3367,2211
1744,2797,2144
538,1527,1333
1479,2567,1737
1745,2797,2141
2241,3362,2207
1587,2533,1655
539,1526,1330
1480,2565,1737
1746,2803,2142
2242,3364,2205
1588,2528,1656
540,1533,1326
1481,2560,1740
1747,2799,2139
2243,3369,2201
1589,2524,1653
541,1531,1329
1482,2559,1742
1748,2802,2139
1590,2518,1656
542,1532,1335
1483,2567,1742
1749,2796,2135
2245,3375,2201
1591,2513,1655
543,1528,1341
1484,2568,1742
1750,2797,2131
1592,2512,1660
544,1525,1341
1485,2566,1739
1593,2506,1665
2247,3366,2204
1751,2800,2137
545,1523,1342
1486,2568,1739
1594,2504,1668
546,1518,1343
1487,2570,1734
1753,2798,2129
1595,2502,1673
2249,3373,2197
1488,2565,1730
547,1517,1347
1754,2796,2125
2250,3378,2193
1596,2508,1675
548,1518,1344

2251,3378,2199
1597,2514,1670
1490,2567,1732
549,1526,1339
2252,3383,2194
1598,2520,1667
1756,2797,2127
1491,2575,1735
550,1527,1341
1599,2515,1665
2253,3391,2192
1757,2795,2126
1492,2575,1732
551,1523,1345
1600,2518,1668
2254,3398,2190
1758,2802,2121
552,1526,1345
1493,2569,1727
1601,2526,1671
1759,2804,2127
1494,2569,1724
2256,3393,2197
1602,2532,1676
1760,2805,2122
1495,2564,1728
554,1534,1335
2257,3391,2194
1603,2529,1673
1761,2807,2119
1496,2571,1725
555,1541,1334
2258,3393,2193
1762,2804,2121
1497,2577,1730
556,1535,1332
1605,2538,1673
1763,2805,2127
1498,2575,1729
557,1534,1334
2260,3398,2203
1764,2812,2130
1606,2542,1671
1499,2580,1725
558,1528,1329
2261,3405,2208
1765,2811,2133
1607,2537,1672
1500,2585,1721
1766,2818,2139
2262,3410,2204
1608,2532,1669
1501,2580,1726
560,1523,1330
1767,2815,2138
1609,2531,1669
2263,3412,2206
1502,2580,1724
561,1519,1333
1768,2816,2138
1610,2526,1672
2264,3410,2202
1503,2579,1729
562,1517,1335
1769,2822,2139
1611,2523,1669
563,1511,1340
1504,2577,1731
1770,2824,2137
1612,2531,1664
2266,3414,2208
1505,2577,1736
564,1512,1339
1771,2822,2137
1613,2531,1667
1506,2575,1741
1772,2819,2143
2268,3421,2199
1614,2526,1669
1507,2581,1738
566,1507,1343
1773,2813,2146
1615,2522,1666
2269,3427,2200
1508,2578,1741
1774,2810,2143
1616,2527,1672
2270,3435,2204
568,1515,1350

1775,2813,2149
2271,3438,2199
1510,2583,1737
1776,2807,2152
2272,3437,2196
1618,2528,1676
570,1507,1351
1511,2586,1732
1777,2801,2149
2273,3438,2199
1619,2527,1680
571,1505,1347
1512,2588,1727
1778,2799,2146
2274,3437,2199
1513,2584,1723
572,1507,1346
1779,2793,2149
2275,3435,2201
1621,2527,1681
1514,2581,1727
573,1512,1347
1780,2798,2148
2276,3439,2201
1622,2526,1676
1515,2584,1733
574,1509,1343
1781,2795,2143
1623,2533,1678
2277,3439,2201
1516,2590,1730
575,1515,1343
1782,2796,2138
1624,2529,1683
2278,3434,2205
1517,2598,1725
576,1515,1338
1783,2798,2136
1625,2523,1686
2279,3431,2208
1518,2593,1731
577,1519,1336
1784,2797,2140
1626,2519,1686
2280,3436,2211
1519,2595,1727
578,1517,1334
1785,2794,2138
1627,2516,1692
2281,3442,2216
579,1520,1337
1520,2595,1724
1786,2788,2133
1628,2510,1688
2282,3442,2216
1521,2595,1725
580,1521,1337
1787,2792,2136
1629,2518,1692
2283,3436,2215
1522,2592,1726
581,1520,1338
1788,2792,2138
1630,2515,1698
2284,3436,2216
1523,2600,1729
582,1519,1334
1789,2787,2143
1631,2522,1701
2285,3440,2216
1524,2601,1725
583,1521,1331
1790,2795,2145
1632,2526,1706
2286,3439,2215
584,1517,1335

1791,2803,2149
1633,2531,1703
2287,3441,2218
585,1517,1330
1526,2599,1723
1792,2803,2148
1634,2532,1701
2288,3440,2215
1527,2605,1725
586,1520,1332
1793,2798,2153
1635,2538,1705
2289,3435,2215
1528,2612,1722
587,1523,1337
1794,2798,2156
1636,2536,1703
2290,3429,2218
1529,2608,1717
588,1527,1341
1795,2803,2153
1637,2532,1700
2291,3430,2219
589,1529,1346

1796,2807,2158
1638,2536,1704
2292,3426,2225
590,1526,1348
1531,2608,1715
1797,2802,2157
1639,2531,1709
2293,3421,2222
591,1522,1347

1798,2802,2154
1640,2525,1709
2294,3423,2224
1533,2598,1721
592,1520,1349
1799,2800,2160
1641,2528,1715
2295,3420,2225
1534,2602,1725
593,1523,1354
1800,2802,2159
1642,2530,1720
2296,3415,2221
594,1526,1352
1535,2605,1726
1801,2800,2155
1643,2528,1715
2297,3416,2225
1536,2613,1729
595,1526,1350
1802,2800,2150
1644,2534,1710
2298,3414,2224
1537,2608,1725
596,1524,1354
1803,2804,2147
1645,2538,1706
2299,3417,2226
1538,2615,1722
597,1524,1355
1804,2801,2145
1646,2534,1710
2300,3418,2226
1539,2612,1728
598,1532,1350
1805,2802,2143
1647,2528,1708
2301,3422,2230
599,1531,1349

1806,2801,2139
1648,2531,1703
2302,3417,2234
1541,2622,1729
1807,2808,2135
1649,2530,1699
2303,3420,2234
601,1535,1350
1542,2618,1730
1650,2535,1699
2304,3427,2237
1543,2616,1736
602,1535,1347
1809,2805,2140
1651,2541,1705
2305,3433,2237
1544,2612,1736
603,1534,1352
1810,2809,2138
1652,2541,1708
2306,3441,2238
1545,2609,1736
604,1539,1358
2307,3441,2244
1811,2808,2141
1546,2606,1735
605,1542,1360
1654,2542,1706
1812,2808,2142
2308,3438,2239
1547,2614,1731
606,1546,1366
2309,3437,2239
1655,2548,1703
1813,2815,2145
1548,2617,1736
607,1546,1364
1656,2546,1705
2310,3437,2241
1814,2820,2150
1549,2613,1740
608,1543,1364
1815,2822,2153
1550,2617,1743
609,1547,1363
2312,3442,2239
1816,2816,2148
1658,2556,1707
610,1546,1364
1551,2623,1741
2313,3443,2238
1817,2816,2154
1659,2551,1711
1552,2628,1742
611,1547,1365
2314,3437,2240
1660,2548,1714
1553,2636,1748
612,1542,1365
1819,2814,2159
2315,3431,2245
1554,2643,1751
1820,2815,2160
2316,3430,2240
614,1536,1368
1555,2644,1755
2317,3433,2238
1663,2560,1715
1821,2813,2161
1556,2640,1757
1664,2566,1713
2318,3431,2239
1822,2813,2158
616,1543,1373
1557,2646,1760
2319,3429,2236
1823,2820,2162
617,1546,1377
1558,2644,1757
1666,2576,1712
1824,2824,2167
618,1550,1377
1559,2645,1756
1667,2580,1715
1825,2832,2170
2321,3427,2235
619,1545,1381
1560,2653,1757
2322,3430,2235
1668,2583,1714
620,1550,1377
1561,2652,1759
2323,3431,2230
1827,2833,2168
621,1550,1383
1562,2652,1759
2324,3426,2235
1828,2834,2171
1670,2584,1721
622,1548,1386
1563,2650,1754
2325,3427,2232
1671,2585,1718
1829,2838,2173
623,1555,1385
1564,2644,1753
2326,3427,2231
1672,2579,1723
1830,2840,2168
1565,2650,1759
624,1550,1387
2327,3426,2232
1673,2576,1719
1831,2848,2171
1566,2655,1765
625,1549,1382
2328,3424,2237
1674,2582,1719
1832,2843,2171
1567,2656,1769
626,1557,1388
1675,2580,1717
1833,2842,2170
1568,2661,1775
627,1551,1392
1834,2843,2173
2330,3424,2243
1676,2584,1716
1569,2655,1772
628,1547,1387
1835,2841,2175
1570,2657,1773
629,1547,1384
2332,3431,2247
1678,2584,1719
1836,2841,2175
1571,2665,1773
630,1554,1380
1837,2843,2174
1679,2585,1721
2333,3432,2242
1572,2660,1768
631,1554,1379
1838,2842,2179
1680,2589,1722
2334,3436,2241
1573,2660,1770
632,1548,1377
1839,2838,2175
1681,2592,1718
2335,3435,2245
1574,2662,1775
633,1556,1381
1840,2841,2180
1682,2597,1717
2336,3433,2243
1575,2662,1777
634,1554,1382
1841,2835,2175
1683,2601,1712
2337,3435,2240
1576,2670,1776
1842,2840,2175
1684,2608,1707
2338,3431,2243
1577,2673,1772
636,1562,1381
1843,2847,2177
1685,2615,1712
2339,3438,2240
1578,2670,1776
637,1564,1378
1844,2845,2182
1686,2612,1709
2340,3432,2236
1579,2667,1773
638,1563,1381
2341,3430,2235
1687,2607,1707
1845,2840,2177
1580,2662,1774
639,1567,1383
1688,2613,1712
1581,2657,1780
2343,3428,2242
1847,2846,2184
1689,2610,1708
641,1579,1388
1582,2659,1782
2344,3432,2248
1690,2615,1703
1848,2845,2179
642,1585,1386
1583,2659,1781
2345,3440,2246
1691,2609,1706
1849,2840,2176
643,1586,1389
1584,2659,1785
2346,3444,2249
1692,2609,1712
1850,2847,2179
1585,2656,1782
644,1582,1392
2347,3452,2248
1693,2609,1707
1851,2848,2174
1586,2654,1779
645,1585,1395
2348,3457,2246
1694,2605,1713
1852,2850,2179
646,1579,1399
1587,2648,1778
2349,3453,2247
1695,2600,1709
1853,2846,2179
647,1581,1402
1588,2654,1775
2350,3458,2248
1854,2854,2185
648,1581,1402
1589,2650,1779
1697,2602,1710
2351,3464,2247
1855,2857,2190
649,1582,1405
1590,2649,1775
1856,2863,2192
1698,2597,1708
1591,2655,1775
650,1587,1406
2353,3469,2255
1699,2596,1710
1592,2654,1775
651,1595,1408
1858,2870,2188
1700,2596,1715
2354,3473,2259
1593,2655,1775
652,1601,1407
1859,2865,2186
2355,3480,2260
1701,2593,1714
1594,2662,1771
653,1598,1407
1860,2873,2192
2356,3476,2256
1702,2589,1713
